iter	Passed	Remaining
274	530	1397
275	531	1393
276	532	1390
277	533	1385
278	534	1382
279	536	1378
280	537	1374
281	538	1370
282	539	1366
283	540	1361
284	541	1358
285	542	1354
286	543	1351
287	545	1347
288	546	1343
289	547	1339
290	548	1336
291	549	1332
292	550	1328
293	551	1325
294	553	1321
295	554	1317
296	555	1314
297	556	1311
298	558	1310
299	560	1307
300	561	1303
301	562	1299
302	563	1296
303	564	1292
304	565	1288
305	566	1284
306	567	1281
307	568	1277
308	569	1273
309	571	1270
310	572	1267
311	573	1264
312	574	1260
313	575	1257
314	576	1253
315	577	1250
316	579	1247
317	580	1244
318	581	1240
319	582	1237
320	583	1233
321	584	1230
322	586	1229
323	588	1227
324	589	1224
325	591	1221
326	592	1219
327	593	1216
328	594	1213
329	596	1210
330	597	1206
331	598	1203
332	599	1201
333	601	1198
334	602	1195
335	603	1192
336	604	1189
337	605	1186
338	607	1183
339	608	1180
340	609	1177
341	610	1174
342	611	1171
343	612	1168
344	613	1165
345	615	1162
346	616	1160
347	617	1157
348	619	1154
349	620	1152
350	621	1149
351	622	1145
352	623	1142
353	624	1139
354	625	1136
355	626	1133
356	628	1131
357	629	1128
358	630	1125
359	631	1123
360	633	1120
361	634	1118
362	635	1115
363	636	1112
364	637	1109
365	638	1106
366	640	1103
367	641	1100
368	642	1098
369	643	1096
370	644	1093
371	646	1090
372	647	1088
373	648	1086
374	650	1083
375	651	1080
376	652	1077
377	653	1074
378	654	1071
379	655	1069
380	656	1066
381	657	1064
382	658	1061
383	660	1058
384	661	1056
385	662	1054
386	683	1083
387	686	1082
388	688	1082
389	691	1082
390	694	1081
391	697	1081
392	700	1081
393	702	1080
394	705	1080
395	707	1079
396	712	1082
397	715	1082
398	717	1080
399	718	1078
400	721	1077
401	722	1075
402	724	1073
403	732	1080
404	736	1081
405	737	1079
406	739	1077
407	741	1075
408	742	1072
409	743	1070
410	744	1067
411	746	1065
412	747	1062
413	748	1059
414	749	1056
415	750	1053
416	751	1051
417	752	1048
418	754	1045
419	755	1043
420	757	1041
421	758	1038
422	759	1036
423	760	1033
424	761	1030
425	762	1027
426	764	1025
427	765	1022
428	766	1019
429	767	1017
430	768	1014
431	769	1011
432	771	1009
433	772	1007
434	773	1004
435	774	1002
436	776	999
437	777	997
438	778	995
439	780	993
440	781	991
441	783	988
442	785	987
443	786	985
444	788	983
445	789	981
446	792	980
447	794	978
448	795	976
449	796	973
450	799	973
451	801	971
452	803	969
453	804	967
454	805	965
455	807	962
456	808	960
457	809	957
